time,S,I,R
3.7,0.9998724168172597,1.148893970522066e-4,1.2693785689212834e-5
3.75,0.9998639657697043,1.2249291472675764e-4,1.3541315570027347e-5
3.8000000000000003,0.9998549555032064,1.305995610845156e-4,1.4444935710219286e-5
3.85,0.9998453490251032,1.392426173053299e-4,1.5408357592658862e-5
3.9000000000000004,0.9998351068972485,1.4845756454894227e-4,1.643553820377103e-5
3.95,0.9998241870745677,1.582822291722313e-4,1.753069626129318e-5
4,0.9998125447329845,1.687569375036225e-4,1.8698329513103513e-05
4.05,0.9998001320860239,1.7992468079975807e-4,1.994323317759657e-5
4.1000000000000005,0.9997868981893507,1.9183129104987696e-4,2.12705196006907e-5
4.15,0.9997727887324557,2.0452562833623542e-4,2.268563920945659e-5
4.2,0.9997577458166493,2.1805978050446699e-4,2.419440284757752e-5
4.25,0.9997417077184718,2.3248927594617184e-4,2.580300558340735e-5
4.3,0.9997246086375666,2.4787331034743164e-4,2.7518052087305507e-5
4.3500000000000005,0.9997063784280086,2.6427498831150886e-4,2.9346583681218955e-5
4.4,0.9996869423120092,2.8176158082190544e-4,3.129610717017336e-5
4.45,0.9996662205748553,3.004047995734098e-4,3.337462557245532e-5
4.5,0.9996441282398645,3.202810892639295e-4,3.559067087283705e-5
4.55,0.9996205747220609,3.414719390090178e-4,3.795333893124667e-5
4.6000000000000005,0.999595463459199,3.640642141142382e-4,4.047232668784483e-5
4.65,0.9995686919305106,3.881501390984826e-4,4.3157930392055445e-5
4.7,0.9995401499613257,4.138288224166086e-4,4.6021216258905205e-5
4.75,0.9995097206306651,4.4120543998483417e-4,4.90739293512059e-5
4.800000000000001,0.9994772793235778,4.7039208732501926e-4,5.2328589098460996e-5
4.8500000000000005,0.9994426931583927,5.015082944743377e-4,5.579854713412037e-5
4.9,0.9994058205002972,5.346814632021337e-4,5.9498036501878436e-5
4.95,0.9993665103855361,5.70047384566845e-4,6.344222989836983e-5
5,0.9993246019097806,6.077507886431888e-4,6.764730157760551e-5
5.050000000000001,0.9992799235774078,6.479459293403937e-4,7.213049325312976e-5
5.1000000000000005,0.9992322926084788,6.907972071917978e-4,7.691018433081417e-5
5.15,0.9991815142009693,7.364798323025226e-4,8.200596672939783e-5
5.2,0.9991273807454176,7.851805299964344e-4,8.743872458723747e-5
5.25,0.9990696709890003,8.370982918308802e-4,9.323071916997916e-5
5.300000000000001,0.999008149145889,8.92445174799194e-4,9.940567931309131e-5
5.3500000000000005,0.9989425639505431,9.514471517040622e-4,1.0598889775403393e-4
5.4,0.9988726476504164,0.0010143450158542396,1.1300733373073525e-4
5.45,0.998798114934341,0.0010813953434140556,1.2048972224618818e-4
5.5,0.9987186617926583,0.0011528715169196375,1.284666904234202e-4
5.550000000000001,0.9986339643049328,0.0012290648136676061,1.3697088140086878e-4
5.6000000000000005,0.9985436773508747,0.0013102855628810918,1.460370862453712e-4
5.65,0.9984474332398485,0.0013968643757640475,1.557023843886048e-4
5.7,0.9983448402541107,0.001489153452767561,1.6600629312292918e-4
5.75,0.9982354811006662,0.0015875279726108571,1.7699092672425053e-4
5.800000000000001,0.9981189112663744,0.0016923875678241695,1.887011658027712e-4
5.8500000000000005,0.997994657270674,0.0018041578918099267,2.0118483751735625e-4
5.9,0.9978622148100238,0.0019232922826517593,2.144929073257731e-4
5.95,0.9977210467878838,0.0020502735291363294,2.286796829812465e-4
6,0.9975705812237861,0.0021856157446896386,2.4380303152566121e-4
6.050000000000001,0.9974102090347647,0.0023298663551652274,2.599246100713092e-4
6.1000000000000005,0.9972392816821404,0.0024836082066545624,2.771101112063238e-4
6.15,0.9970571086763802,0.002647461799717307,2.954295239038394e-4
6.2,0.9968629549324921,0.0028220876566479557,3.149574108613911e-4
6.25,0.9966560379681542,0.0030081888286021905,3.357732032450868e-4
6.300000000000001,0.9964355249365421,0.003206513549596876,3.579615138625117e-4
6.3500000000000005,0.9962005294855952,0.0034178580445672403,3.816124698390409e-4
6.4,0.9959501084352694,0.003643069498807947,4.068220659240884e-4
6.45,0.9956832582641602,0.0038830491962348113,4.3369253960655243e-4
6.5,0.9953989113967554,0.004138755833973901,4.623327692721319e-4
6.550000000000001,0.9950959322825066,0.00441120902080587,4.928586966889048e-4
6.6000000000000005,0.9947731132578839,0.004701492966956235,5.253937751612358e-4
6.65,0.9944291703302421,0.005010760241093903,5.600694286652784e-4
6.7,0.9940627381765325,0.005340236223976437,5.970255994923758e-4
